Phase,Task,Done,Notes
"1. Within the first few days","Get the death certified — automatic if in hospital; otherwise contact the GP who attended",,
"1. Within the first few days","Get a Death Notification Form from the doctor who attended",,
"1. Within the first few days","Register the death with the local Registrar of Births, Marriages and Deaths (within 3 months; must be done within 12 months)",,
"1. Within the first few days","Order several copies of the death certificate (banks, pensions and insurers will each want their own)",,
"1. Within the first few days","Secure the property — locked, insured, perishables removed",,
"1. Within the first few days","Locate the will, if one exists, and identify the named executor(s)",,
"2. Within the first few weeks","Notify banks, building societies and credit unions (bring a death cert + proof of executor authority)",,
"2. Within the first few weeks","Notify pension providers and any life insurance policies",,
"2. Within the first few weeks","Notify Revenue (01 738 3600 or ros.ie) — a final income tax return may be needed for the year of death",,
"2. Within the first few weeks","Notify the mortgage provider, if applicable",,
"2. Within the first few weeks","Notify utility providers (electricity, gas, broadband, phone)",,
"2. Within the first few weeks","Cancel or transfer the Medical Card (HSE, 0818 22 44 78)",,
"2. Within the first few weeks","Notify the National Driver Licence Service (NDLS) if the person held a driving licence",,
"2. Within the first few weeks","Redirect or cancel post with An Post",,
"2. Within the first few weeks","Cancel subscriptions, memberships and direct debits once accounts are formally closed",,
"3. Applying for Probate","Decide: personal application (most estates) or instruct a solicitor (required if there's a dispute, the will is lost, the applicant is under 18, the deceased lived outside Ireland, or a non-resident applicant with beneficiaries other than a spouse inheriting EUR 20,000+)",,
"3. Applying for Probate","File the Statement of Affairs (Form SA.2) with Revenue",,
"3. Applying for Probate","Complete the Personal Application Form (or, via a solicitor: Form S1 + Executor's Oath + Inland Revenue Affidavit CA24)",,
"3. Applying for Probate","Submit the application and supporting documents to the correct Probate Office (Dublin Probate Office for Dublin/Kildare/Meath/Wicklow; Dublin or your county's District Probate Registry otherwise)",,
"3. Applying for Probate","Attend the Probate Office appointment to swear the oath and have documents examined (personal applicants)",,
"3. Applying for Probate","Receive the Grant of Probate (or Letters of Administration if there's no will)",,
"4. After the Grant issues","Register the Grant with each bank, pension provider and insurer to release funds",,
"4. After the Grant issues","Pay any Capital Acquisitions Tax (CAT) due and file an IT38 return via ROS if required",,
"4. After the Grant issues","Settle outstanding debts and expenses from the estate",,
"4. After the Grant issues","Transfer or sell property as needed — this is usually when a house clearance is arranged",,
"4. After the Grant issues","Distribute the remaining estate to beneficiaries as set out in the will (or under intestacy rules)",,
"General note","This checklist is a general starting point, not legal or tax advice — every estate is different. Confirm your specific situation with a solicitor or accountant, especially around probate requirements and CAT liability.",,
